# Mode: w_phi
# Eigenvalue: -1.680428644990607
# Normalization: 1.0000000000000002
# Nodes: 0
# Normalizable: True
chi_GeV_inv,profile,profile_squared
-7.9950000000e-01,4.9728551248e-01,2.4729288092e-01
-7.8884000000e-01,5.0313487448e-01,2.5314470191e-01
-7.7818000000e-01,5.0901299940e-01,2.5909423356e-01
-7.6752000000e-01,5.1491819142e-01,2.6514074386e-01
-7.5686000000e-01,5.2084867700e-01,2.7128334433e-01
-7.4620000000e-01,5.2680260412e-01,2.7752098371e-01
-7.3554000000e-01,5.3277804169e-01,2.8385244171e-01
-7.2488000000e-01,5.3877297897e-01,2.9027632287e-01
-7.1422000000e-01,5.4478532520e-01,2.9679105056e-01
-7.0356000000e-01,5.5081290934e-01,3.0339486110e-01
